Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-11-19,117.64,119.75,116.76,118.78,43295820.0,0.0,1.0,113.65773064726999,115.69630436085,112.80751980938,114.75914014181002,43295820.0
2015-11-18,115.76,117.49,115.5,117.29,46674697.0,0.0,1.0,111.84137112996001,113.51280834536001,111.59017247331002,113.31957860946999,46674697.0
2015-11-17,114.92,115.05,113.32,113.69,27583101.0,0.0,1.0,111.02980623924,111.15540556757,109.48396835217,109.84144336355,27583101.0
2015-11-16,111.38,114.24,111.0,114.175,38106701.0,0.0,1.0,107.60963991409001,110.37282513723,107.24250341591,110.31002547307,38106701.0
2015-11-13,115.2,115.57,112.27,112.34,45812403.0,0.0,1.0,111.30032786948,111.65780288087,108.46951223877,108.53714264633001,45812403.0
2015-11-12,116.26,116.82,115.65,115.72,32525579.0,0.0,1.0,112.32444546967,112.86548873014,111.73509477521999,111.80272518278,32525579.0
2015-11-11,116.37,117.42,115.21,116.11,45217971.0,0.0,1.0,112.43072182440001,113.44517793780001,111.30998935627,112.17952316774999,45217971.0
2015-11-10,116.9,118.07,116.061,116.77,59127931.0,0.0,1.0,112.9427806245,114.07317457942,112.13218188246,112.81718129616999,59127931.0
2015-11-09,120.96,121.81,120.05,120.57,33871405.0,0.0,1.0,116.86534426295,117.68657064046002,115.98614896468,116.48854627798,33871405.0
2015-11-06,121.11,121.81,120.62,121.06,33042283.0,0.0,1.0,117.01026656487,117.68657064046002,116.53685371195,116.9619591309,33042283.0
2015-11-05,121.85,122.69,120.18,120.92,39552680.0,0.52,1.0,117.72521658764,118.53678147836,116.11174829299999,116.82669831578,39552680.0
2015-11-04,123.13,123.82,121.62,122.0,44886050.0,0.0,1.0,118.45249805353998,119.11628611215001,116.99986041802,117.3654248561,44886050.0
2015-11-03,120.79,123.49,120.7,122.57,45518976.0,0.0,1.0,116.20139072433001,118.79882225803001,116.11480967321,117.91377151321001,45518976.0
2015-11-02,119.87,121.36,119.61,121.18,32203267.0,0.0,1.0,115.31633997951,116.74973738145,115.06621694293999,116.5765752792,32203267.0
2015-10-30,120.99,121.22,119.45,119.5,49365254.0,0.0,1.0,116.39379306016001,116.61505574636001,114.91229507427,114.96039565823,49365254.0
2015-10-29,118.7,120.69,118.27,120.53,51227334.0,0.0,1.0,114.19078631491001,116.10518955642,113.77712129288,115.95126768774999,51227334.0
2015-10-28,116.93,119.3,116.06,119.27,85551352.0,0.0,1.0,112.48802564281999,114.7679933224,111.65107548196,114.73913297203,85551352.0
2015-10-27,115.4,116.54,113.99,114.55,69884400.0,0.0,1.0,111.01614777372,112.11284108795,109.65971130612,110.19843784645,69884400.0
2015-10-26,118.08,118.13,114.92,115.28,66333781.0,0.0,1.0,113.59433907383999,113.64243965780001,110.55438216773001,110.90070637222,66333781.0
2015-10-23,116.7,119.228,116.33,119.08,59366914.0,0.0,1.0,112.26676295661001,114.6987284815,111.91081863533,114.55635075299,59366914.0
2015-10-22,114.33,115.5,114.1,115.5,41654089.0,0.0,1.0,109.98679527703001,111.11234894164,109.76553259083,111.11234894164,41654089.0
2015-10-21,114.0,115.58,113.7,113.76,42326974.0,0.0,1.0,109.66933142291,111.18930987597,109.38072791917,109.43844861991998,42326974.0
2015-10-20,111.34,114.17,110.82,113.77,48967763.0,0.0,1.0,107.11038035638,109.83287340837,106.61013428321999,109.44806873671,48967763.0
2015-10-19,110.8,111.75,110.11,111.73,29759153.0,0.0,1.0,106.59089404964001,107.50480514483,105.92710599103,107.48556491125,29759153.0
